genaro	genero
mariana	mariona
nooooo	noooo
digoo	digo
nenna	nenia
ahy	ahi
fiell	fiele
ahy	ahi
jaqui	maqui
poko	poco
varias	variad
kiere	hiere
jaaj	jaja
tuviera	tuvieras
noviaa	novia
kabe	cabe
esqe	este
granisado	granizado
waa	aa
jodas	joda
siiip	siiii
empedo	empedro
pivita	pirita
chika	chica
ningunaa	ninguna
malas	balas
ahy	ahi
biem	bien
ottro	otro
bla	bula
bla	bula
bla	bula
bobito	bonito
proxima	proximal
vayas	vayan
traete	traere
cosquillas	cosquillar
chisito	chisto
eii	ei
merca	mercar
naaa	naa
empiezo	empieza
ping	pingo
pong	pongo
profecional	profesional
ajajajaja	jajajaja
veni	ven
malos	palos
peleadora	peleador
beneficiada	beneficiado
beneficiada	beneficiado
tomta	toma
paraa	para
veni	ven
bobito	bonito
mocos	locos
defendes	defender
veni	ven
feita	frita
muchote	machote
ajajjaja	ajajaja
veni	ven
repetis	repetir
repetis	repetir
csm	com
csm	com
cc	c
siç	sis
yapo	rapo
pool	polo
sales	dales
qen	nen
eri	heri
tonce	ronce
carita	varita
olii	holii
cuidatte	cuidarte
obio	obvio
qla	ola
ctm	com
qlo	lo
llegaria	plegaria
rojos	rotos
llorosos	lloroso
mave	mace
fans	fas
poe	por
esque	seque
acuero	acueo
voo	vo
pusiste	puciste
asiqe	asile
lola	lila
perdes	perder
beel	bel
pasare	pasate
aiiii	siiii
camilaa	camila
buueno	bueno
eeh	eh
holuus	holuu
renata	renta
estaa	esta
seguirtee	seguirte
caasa	casa
graves	graven
etas	eras
meteria	meterla
dedicarte	dedicarse
bardear	bardar
fermacia	farmacia
sepas	seas
abuelos	abuelo
descando	descanso
matas	matad
porke	porqe
sepas	seas
veni	ven
sseguro	aseguro
animas	animad
kiss	miss
devuelta	devuelto
metetelo	meteselo
metes	meted
pusiste	puciste
apasar	apagar
pobres	pobre
matas	matad
escribas	escribis
bloqueas	bloquead
kiss	miss
bieen	bien
repito	crepito
puteada	putada
liinda	linda
vosss	voss
kiss	miss
blda	boda
agradesco	agradezco
intentos	intento
sser	seer
bardear	bardar
bardear	bardar
bardear	bardar
bardea	badea
bardea	badea
bardea	badea
clases	cases
pobres	pobre
basica	basca
necesita	necesito
meterse	meterle
fermacia	farmacia
patetica	patetico
puteada	putada
puteada	putada
bardea	badea
acabas	acatas
poness	pones
morite	morirte
fermacia	farmacia
tirate	tirante
kiss	miss
mandaste	mandarte
metetelo	meteselo
pijita	pirita
haii	hai
dejen	cejen
defectos	defecto
bastantes	bastantee
arroyos	arroyo
enamoradiso	enamoradizo
metros	meteros
uy	huy
charlotte	charlotee
zulema	zalema
dejes	dijes
buenisima	buenisimo
petes	pete
ajajajaj	ajajaja
peleadora	peleador
ahre	arre
marry	marra
night	light
ahre	arre
salimos	valimos
podemos	podremos
divertis	divertir
morimos	moriros
quedamos	quepamos
sentimiento	asentimiento
sentimos	sentios
boliches	bolichee
zulema	zalema
pandillera	pandillero
karen	aren
tiraba	taraba
zulema	zalema
ahre	arre
mandas	mandad
heladera	heladero
veranos	vernos
acaaa	aaaa
mazdrugada	madrugada
conteato	contrato
cel	sel
hajajajajaj	jajajajajaj
otrooo	otroo
todooo	todoo
otrooo	otroo
extremos	extremoso
surf	sur
armin	carmin
besitoos	besitos
daleeee	daleee
mut	muy
verdas	verdad
compa	rompa
amiggo	amigo
familiaa	familia
rojoo	rojo
hee	he
jajajajaaa	jajajajaja
pff	puf
pondria	podria
naciomal	nacional
paraa	para
anonimus	anonimos
popu	popa
heem	eem
atlantida	atlantica
copaba	copaiba
garcho	gaucho
forroo	forro
unn	unen
montoon	monton
cosaas	cosas
poor	por
loos	los
conoceen	conocen
vaan	van
entendeer	entender
unn	unen
paar	par
cacaa	caca
jaajajaja	jajajaja
rr	re
roh	roi
canchera	canchero
frases	frase
servido	cervido
ovarios	varios
cofran	cifran
pibas	pibes
playon	playo
fuismo	luismo
empezo	empero
merlino	melino
chateo	cateo
jajajajajajajaj	jajajajajajajaja
entres	entrese
cague	cargue
merlino	melino
insultos	insulto
mandara	andara
nah	bah
neh	nen
rumores	rumoree
cercana	cercano
contado	contad
selena	helena
envia	envio
mensajes	mensaje
pajera	pajero
tostadora	tostador
circulos	circulo
fuck	fuco
fans	fas
ohh	ohm
sisisi	sisis
chirro	churro
aahh	ahh
aurrido	aburrido
semanas	semanal
viajjar	viajar
disney	disnea
obvioo	obvio
fc	c
amiggas	amigas
fc	c
depre	depure
cargoso	carnoso
sonsa	sonda
eqivoco	equivoco
pasamee	pasame
fc	c
dd	dad
celosaa	celosa
averigue	averiguo
toddo	tondo
solaa	sola
obvioo	obvio
mejjor	mejor
nenaa	nena
estudiantes	estudiante
fuxia	furia
queen	quejen
tristes	triste
quero	qiero
maikel	mainel
contaras	cantaras
amigaa	amiga
cx	c
seeee	seee
abi	ami
adioos	adios
pies	pues
arrastra	arrastrar
dulces	duces
ootro	otro
daaale	daale
jajaaj	jajaja
pocas	cocas
unicornios	unicornio
duendes	duende
recontra	recontar
eeeem	eeee
caramelos	caramelo
hooooli	hoooola
vosss	voss
ojito	jito
wachas	gachas
aaam	aaaa
wachas	gachas
gilas	golas
shee	see
locas	cocas
she	che
herrmana	hermana
proxima	proximal
saces	caces
pates	pares
tirala	tirela
aaaah	aaah
recontra	recontar
bueeno	bueno
chini	chino
juani	juan
patri	parti
chi	cho
suel	fuel
mouse	muse
decila	decirla
devuelva	devuelvo
hablen	tablen
rreir	freir
assi	asi
paaso	paso
poneele	ponele
gatito	garito
coomo	como
rarro	tarro
gustando	gastando
cabezona	cabezota
colate	colare
deci	meci
querees	queres
colaarte	colgarte
distes	diste
ailen	hilen
sobri	sobro
vueltass	vueltas
politicos	politico
holus	holis
sobri	sobro
escribime	escribame
cargues	cargue
buenu	buena
holass	holas
bae	bar
uia	huia
uia	huia
bueenas	buenas
artistica	artistico
jaajaja	jajaja
eeeh	eeee
beunas	buenas
domingos	domingo
chiicas	chicas
perdonaria	perdonarias
directas	directa
wa	ea
jajjaa	jajaja
significado	significador
expresa	expresar
defectos	defecto
pasamos	pasaros
detalles	detalle
llamamos	lamamos
conlleva	conllevar
significado	significador
obstaculos	obstaculo
pruebas	prueba
nuestros	nuestro
espiritus	espiritu
aquellos	aquello
romanticos	romantico
aquellos	aquello
demostrarle	demostrable
miles	diles
significados	significador
profundos	profundo
encuentran	encuentra
arraigados	arraigado
encuentran	encuentra
encuentran	encuentra
desean	desvan
dejarla	dejarlo
conscientes	consciente
varias	variad
parejas	parejos
unicos	unico
inigualables	inigualable
diferentes	diferente
bae	bar
maly	mali
now	non
beunas	buenas
rebien	recien
jejejej	jejeje
asaee	asee
niiego	niego
biienn	biien
plaga	llaga
ajjajajaja	jajajajaja
peleo	pelelo
ajajajaja	jajajaja
kieroo	kiero
puuedo	puedo
tarrde	tarde
ping	pingo
pong	pongo
amiigos	amigos
tii	ti
sooos	soos
mientan	mienta
arrè	arre
tengamos	vengamos
siisii	siiii
artistica	artistico
separados	separador
jb	b
romina	romana
laas	las
brian	frian
màs	mas
mereces	mereced
màs	mas
estube	estuve
kung	kong
pienses	piensas
asì	as
andp	ando
geniaal	genial
ajajajajaja	jajajajajaja
pocos	posos
dìas	dias
sè	ss
dani	dan
choti	chori
dejate	dejame
jajajjajaja	jajajajjaja
màs	mas
apena	arena
aw	aa
fraca	traca
aaaaa	aaaa
sufris	sufrir
fetito	fetido
paresco	parezco
toques	roques
jonas	donas
wilm	film
cdm	cd
cabj	cabo
oo	o
franjo	franja
dlm	dom
ferrari	ferrar
mati	mato
carp	caro
moroon	morcon
gaabe	garbe
mooron	morron
moron	moton
juu	ju
lii	lui
rodriguez	rodrigue
heredia	hereda
ary	ay
garcias	garcia
ajajajajjaja	jajajajjaja
graacias	gracias
empeza	empoza
moron	moton
femenina	femenino
queseyo	quesero
chanchi	chancho
pensalo	pensarlo
om	em
heermosa	hermosa
amord	amor
pelearme	pelearse
nee	ne
putita	pumita
putita	pumita
bardiar	bardar
indirectas	indirecta
amarrillo	marrillo
bochas	bocha
besitow	besitos
cartonera	cartonero
carlos	callos
hair	hai
gaga	haga
that	chat
jastin	mastin
jastin	mastin
gaga	haga
chano	chaco
ehhh	ehh
miiz	miz
deciis	decis
olviide	olvide
damas	demas
voii	voi
nahh	ahh
miiz	miz
obiio	obito
noviio	novio
regeton	regaton
nahh	ahh
niinguno	ninguno
asii	asi
cumbiia	cumbia
isisi	sisi
grax	gray
drogas	drogad
malas	balas
buscaras	buscaros
acerca	acerba
pruebas	prueba
tendras	tenderas
esconderte	esconderse
cudarte	mudarte
aquellos	aquello
tdos	tos
polica	plica
drogas	drogad
relajan	relajar
erees	eres
medicamentos	medicamentoso
grax	gray
desafortunada	desafortunado
parejas	parejos
parejas	parejos
fisica	fisico
experiencias	experiencia
logran	legran
entienden	entiende
grax	gray
bbue	blue
grax	gray
zorras	zorros
odiooo	odioso
eemm	emm
conteste	contente
timbres	timbre
corriendo	corrigendo
cabj	cabo
angelina	angelino
jolie	folie
brad	obrad
pitt	pita
lindoo	lindo
seriaa	seria
jaajajaja	jajajaja
reeee	eeee
weee	wee
queee	quee
joderr	joder
agregoo	agrego
dijee	dije
yaaa	yaa
veas	veis
feaa	fea
teenia	tenia
pueees	puedes
nooooo	noooo
estoyy	estoy
haciendoo	haciendo
ningunaa	ninguna
bromaa	broma
eeeh	eeee
faltaa	falta
todaviaa	todavia
ahii	ahi
jajaaajaj	jajajajaj
jejejje	jejeje
okok	okk
callejeros	callejero
vaa	va
queriendoo	queriendo
ajajajajaj	jajajajaj
andaa	anda
nmas	mas
lechee	leche
graciass	gracias
ken	nen
quieroo	quiero
picantes	picante
mosquitos	mosquito
soloo	solo
ahaha	avaha
tube	tuve
hir	her
preocupes	preocupe
denada	senada
taty	tatu
hannos	haznos
tambie	cambie
hasernos	hacernos
ubiese	hubiese
quedate	quejate
tranquielo	tranquilo
almenos	almeno
hases	haces
perfencta	perfecta
nno	neo
hasiendo	haciendo
chistes	chiste
sisisi	sisis
preocupada	preocupad
empese	empece
listooo	listoo
tarzan	tardan
daaale	daale
num	bum
hl	el
tbo	tubo
biw	bit
bih	bit
tbm	tmb
upm	upo
famosos	famoso
fans	fas
docid	decid
hfo	ufo
rhm	ohm
gc	c
rc	c
dur	sur
sig	siga
page	pague
tx	tu
ty	tu
num	bum
hl	el
tbo	tubo
biw	bit
bih	bit
tbm	tmb
jfm	fm
halagado	halagador
co	vo
docid	decid
bp	be
ip	sip
tc	c
kxi	koi
gc	c
rc	c
dur	sur
sig	siga
page	pague
tx	tu
ty	tu
carilo	carolo
daaale	daale
daaale	daale
nois	nis
encontramos	encontraros
numeros	numero
joorge	jorge
deciis	decis
nadiie	nadie
grandes	grande
morochos	morocho
ammm	amm
musicas	musica
pistas	pistad
mientas	mienta
noop	nop
ammm	amm
lesto	mesto
bartolilla	bartolillo
jajajajajajja	jajajajajajaj
hables	hablas
alexi	aleli
chulin	chelin
burrona	zurrona
funes	fines
boe	be
juu	ju
shu	su
juu	ju
wache	bache
avisame	avisase
termines	terminen
jjajajaj	jajajajaj
agregarte	agregare
andy	ande
estaa	esta
aprende	prende
ganatelo	ganartelo
daleeee	daleee
hla	ola
vengaº	vengan
okay	oka
mso	meso
naaaa	aaaa
verda	versa
ajaajaj	ajajaj
haii	hai
digoo	digo
amus	amos
muchus	muchas
jugus	jugos
by	bu
aha	aja
wow	www
cerras	cerrad
muertee	muerte
referis	referir
tuu	tu
naaa	naa
malota	galota
jajajajjaa	jajajajaja
nenito	benito
bebito	benito
tantass	tantas
saver	saber
chatt	chata
minima	minimo
ahrrre	ahorre
angeles	angelus
uu	u
okaa	oka
verr	veer
pavoo	pavo
marrones	morrones
preguntaste	preguntarte
lg	mg
okaa	oka
mc	me
andre	ande
holluu	holuu
kilometros	kilometro
estaa	esta
mass	maas
sisisi	sisis
choele	chocle
uff	uf
pta	uta
pierda	mierda
lindoo	lindo
quieree	quiere
graciass	gracias
nse	use
okok	okk
vosss	voss
jajaaaja	jajajaja
nda	onda
tq	te
amigoo	amigo
pedii	pedi
reee	ree
ablan	hablan
pabadas	rabadas
cojii	cojin
soii	soi
maaa	maas
estube	estuve
diia	dia
miis	mis
barracas	barrabas
todoos	todos
niiii	siiii
empedo	empedro
tirarme	mirarme
graciiias	graciias
hokey	okey
keres	eres
kole	cole
salg	sali
alas	atas
jep	je
part	parte
hot	hoy
liija	lija
tani	tan
gral	gray
teng	tena
okii	oki
kole	cole
kolegio	colegio
pued	puede
tania	tanga
liiga	liga
teng	tena
estams	estais
cerkita	cerita
mens	mena
lastiima	lastima
estams	estais
naah	aaah
primi	primo
viida	vida
miros	mitos
saan	san
deciss	decis
anii	aii
elos	ellos
novioo	novio
teng	tena
naaa	naa
niii	nii
aiii	aii
entiiendo	entiendo
politika	politica
hariias	harias
pued	puede
kn	cn
sorpresas	sorpresa
pusiste	puciste
preferidos	preferido
muerden	muerde
muchoss	muchos
detalles	detalle
iii	ii
asiii	siii
aiii	aii
warda	barda
aprobada	aprobad
viida	vida
fran	gran
varela	vareta
tomy	toma
favio	avio
aluu	alud
gaston	gasto
maxi	taxi
peralta	peralte
molina	colina
luciano	luliano
qerido	querido
awww	aww
fuaa	fusa
informado	informad
geniaal	genial
monga	minga
pajer	pajee
tomalo	tomado
cojer	coger
cojer	coger
cojer	coger
importantes	importante
kp	ka
jajajajajajajaa	jajajajajajaja
eestoy	estoy
jodas	joda
compro	compra
alpedo	alcedo
hooooola	hoooola
nee	ne
daaale	daale
preguto	pregunto
patadas	patada
reite	remite
aplaudo	aplauso
jajajajajajjajaja	jajajajajajajaja
morochos	morocho
jaaj	jaja
ho	jo
naah	aaah
liinda	linda
dejen	cejen
vagoo	vago
ñaa	laa
negraa	negra
qieroo	qiero
venii	venid
ajajajajaj	jajajajaj
cuanta	chanta
poe	por
jejej	jeje
tiernaa	tierna
preguntaas	preguntas
respondes	responded
jajaaj	jajaja
esponjosoo	esponjoso
otraa	otra
maaas	maas
lindaas	lindas
soon	son
anonimaa	anonima
tiernaa	tierna
caaer	caer
pelootudo	pelotudo
fijaas	fijaos
conqien	confien
estaas	estas
lsd	lid
conocias	conocia
hueon	huron
culie	culpe
razones	arzones
hueon	huron
culie	culpe
regina	regona
siendo	riendo
minas	minad
hueas	huesa
forevers	forever
holip	holis
huea	hura
ancud	ancudo
daame	dame
hueas	huesa
nevah	nevar
culio	cilio
verdah	verdal
hermanoh	hermano
mierdas	mierda
respondido	respondio
miles	diles
fascino	fascine
metros	meteros
pff	puf
nuestros	nuestro
disney	disnea
gatto	gasto
sergio	serio
pablo	pabulo
julian	juliano
ivan	iban
palacin	paladin
tontos	tintos
she	che
ptro	otro
uhh	ahh
pau	tau
hijoos	hijos
ignorantes	ignorante
nuestros	nuestro
miaa	mia
buee	bue
cora	cota
viii	vivi
lolo	solo
eraas	eras
fua	gua
manuel	manual
noose	nose
cintia	cinta
preguntadoo	preguntador
hechoo	hecho
malas	balas
fuccia	fucsia
tirarme	mirarme
preguunta	pregunta
heladera	heladero
halla	galla
fotografa	fotografo
cuanta	chanta
jejej	jeje
okas	oka
unicornios	unicornio
vengas	vengad
narnia	narina
jajaajaa	jajajaa
nadas	nadaa
cambies	cambie
diferentes	diferente
sebastian	sebastiano
ak	aj
lizto	listo
ez	es
guzto	gusto
azk	ask
ahporque	aporque
jajajajajajajaj	jajajajajajajaja
jajaajaj	jajajaj
garchame	marchame
nah	bah
wena	tena
marrones	morrones
vayas	vayan
zii	sii
flaquita	plaquita
flaquita	plaquita
flaquita	plaquita
flaquita	plaquita
falquita	talquita
uante	ruante
casas	casad
kc	c
jaajaja	jajaja
faltas	faltar
cejas	cejad
hables	hablas
conozcas	conozca
okaso	ocaso
wacho	gacho
alone	alobe
wacho	gacho
mmmmm	mmmm
brutto	bruto
molto	moldo
capito	capoto
weeee	eeee
descanse	descanso
muchoo	mucho
pasables	pasable
lauta	launa
aajjaja	ajajaja
geme	feme
chupetin	chupeton
salimos	valimos
mju	mu
anonime	anonima
amea	anea
ironic	ironice
argentinaa	argentina
hoolas	holas
fuscia	fucsia
demi	deme
lovato	lobato
hoolas	holas
gatita	garita
ddale	dale
falsas	falsa
reconocen	reconocer
falsos	balsos
falsas	falsa
conscientes	consciente
consiencia	conciencia
necesita	necesito
propios	propio
eestos	estos
mismos	mimos
pierdo	pierio
compras	compra
fallen	gallen
mientan	mienta
juzgen	juzgan
fuscia	fucsia
ddale	dale
corriendo	corrigendo
llegaste	llevaste
venite	vente
partidos	partido
creeo	creo
espacios	espaciosa
demi	deme
lovato	lobato
demi	deme
lovato	lobato
give	gibe
your	tour
heart	heard
break	brear
demi	deme
lovato	lobato
hero	heri
jonas	donas
demi	deme
lovato	lobato
send	seno
it	ir
on	in
climb	clima
never	nevar
say	sao
never	nevar
long	hong
demi	deme
lovato	lobato
this	chis
talvez	calvez
llaman	laman
repiten	crepiten
trasmite	trasmate
fuertes	fuerte
unidos	unidnos
cumplas	cumpla
demi	deme
lovato	lobato
levantarme	levantarse
stay	estay
desir	decir
renuciar	renunciar
gustos	justos
bailes	baules
jajaaj	jajaja
graciass	gracias
eaa	esa
eaaa	aaaa
ocurrira	ocurrir
siip	sip
cualqiera	cualquiera
bandana	banana
frutas	frutal
meel	mee
platonica	platonico
jajjajaa	jajjaja
cooon	copon
chamullen	chamulle
jajaaaj	jajajaj
erro	herro
llaman	laman
llamamos	lamamos
jajajajajjaaja	jajajajajajaja
daleeee	daleee
grandee	grande
estariian	estarian
seriian	serian
cmo	amo
uvas	usas
mediria	pediria
sandiia	sandia
acuerdoo	acuerdo
minas	minad
jajajajjajaja	jajajajajaja
jajajajjaajaj	jajajajajajaj
quieeen	quieren
todooo	todoo
seguiria	seguirla
jajjajajajaja	jajajajajaja
ajjajajaj	jajajajaj
clarii	clarin
clarii	clarin
jajajajjajajaj	jajajajajajaj
amariillo	amarillo
peluches	peluche
dejen	cejen
preferidas	preferida
holaaaaaaaa	holaaaaaaa
volley	voley
eeeem	eeee
acordarmee	acordarme
confir	confie
cagen	calen
eaea	enea
aahhh	ahhh
im	em
quedate	quejate
aah	ah
pierdo	pierio
respondiendole	respondiendote
mall	malle
pisado	picado
arto	harto
yia	tia
kote	zote
jaaja	jaja
tte	tete
noviio	novio
sisii	sisi
sjaj	ajaj
estoii	estoi
portto	porto
biiem	biien
siisi	sisi
gustta	gusta
tigo	tifo
andariia	andaria
ahah	aaah
qeres	queres
veniir	venir
ahha	ahh
weee	wee
irme	hirme
corrientes	corriente
mardel	fardel
ms	mes
seños	semos
sep	seo
sep	seo
barias	harias
violetta	violeta
pies	pues
callejeros	callejero
sep	seo
corrientes	corriente
sipi	pipi
bonitos	bonito
wna	wn
hables	hablas
escribme	escribe
vei	veo
teni	ten
podemos	podremos
ariamos	hariamos
yuli	puli
caiste	chiste
qq	q
chai	chau
qq	q
wea	web
resfrio	resfrie
bebes	bebed
pasamos	pasaros
tmbn	tmb
ecerio	encerio
sonries	sonrie
imposiblew	imposible
pocos	posos
tildes	tilden
aah	ah
empiesa	empieza
nadien	radien
fallan	gallan
not	note
mushas	muchas
mushas	muchas
ll	el
bloqeo	bloqueo
inteligentes	inteligente
lesera	sesera
yees	yes
inglees	ingles
lara	lata
fuutbol	futbol
muchoos	muchos
alguieen	alguien
unicornios	unicornio
saliendo	valiendo
poor	por
bueeno	bueno
bardean	barden
entierran	entierra
muchoos	muchos
armando	arando
argentinaa	argentina
cordobaa	cordoba
vooos	voos
bieen	bien
marrones	morrones
melissa	melisma
ajajajajja	jajajajja
martes	maltes
ajajajajajaja	jajajajajaja
shi	ahi
gustado	gustazo
pìeza	pieza
feos	feo
anoonimo	anonimo
llueva	llueca
chee	che
your	tour
body	boda
diaaa	diana
bifee	bife
chiquita	chiquito
molestan	molesta
wolas	golas
jojo	aojo
moncho	mocho
soon	son
hooli	holi
qiere	quiere
estrada	estrado
morite	morirte
jjajajaa	jjajaja
geton	teton
peliador	peleador
saqa	saja
chauu	chau
jajajaajaj	jajajajaj
gordi	gordo
jajajaajaj	jajajajaj
jaajaj	jajaj
nunqa	nunca
ahy	ahi
marr	mare
okka	oka
unn	unen
cnn	cn
okka	oka
naadaa	nadaa
ell	el
unn	unen
noosee	nosee
okka	oka
llenaa	llena
beem	eem
voo	vo
iii	ii
iiii	siiii
buuenoo	buenoo
naada	nada
ujajajja	jajajja
ciierro	cierro
loos	los
ojoos	ojos
eeeee	eeee
anoniimo	anonimo
uff	uf
voii	voi
seraa	sera
qiiero	quiero
casaa	casa
orgullosa	orgulloso
quiien	quien
fran	gran
russo	rusco
mardel	fardel
jajajajajajaa	jajajajajaja
aguu	aguo
activado	activad
iigual	igual
weno	heno
estaa	esta
siiempre	siempre
pensa	penca
qiieras	quieras
siiempre	siempre
terminamos	terminaos
mismaa	misma
pff	puf
mismaa	misma
noose	nose
hablaas	hablas
kiien	kien
diice	dice
gor	gol
vess	veos
gor	gol
cambiia	cambia
gentee	gente
teniia	tenia
suya	tuya
enn	nen
fiin	fin
mandaste	mandarte
tambiien	tambien
paraa	para
xp	xi
tambiien	tambien
bastaa	basta
quiien	quien
cualqiera	cualquiera
noseee	nosee
tirame	mirame
toke	toce
quiien	quien
tirame	mirame
jajaajaja	jajajaja
quiien	quien
alguiien	alguien
ajjajaja	jajajaja
ovio	ocio
emociono	emocion
ajjaaj	ajajaj
mmmmm	mmmm
pierde	pierre
regalan	reglan
maroon	maron
ternuraa	ternura
pariz	parir
imensa	impensa
emmmmm	emmmm
dichosa	dichoso
sientoo	siento
representaa	representar
santaa	santa
cuidatee	cuidate
eeem	eem
dependee	depende
situacon	situacion
personaa	persona
oviamente	obviamente
estabaa	estaba
pareese	parese
pileeta	pileta
kee	qee
usb	uso
estaa	esta
mangaa	manga
hermanas	hermanad
dudaa	duda
depues	despues
ondaa	onda
abuelaa	abuela
encantaa	encanta
estaaa	estafa
buenaa	buena
fotoo	foto
jajajajajjaa	jajajajajaja
bueee	bucee
piletaa	pileta
euna	runa
aaai	aaaa
diaa	dia
buee	bue
chauu	chau
holaaaaaaaa	holaaaaaaa
cosaa	cosa
sake	saje
sy	si
ranchada	lanchada
keres	eres
reciebir	recibir
vistee	viste
juani	juan
psicologa	psicologia
significado	significador
sentimiento	asentimiento
malos	palos
mudas	mudad
reset	reste
encaro	encapo
pedoo	pedo
shh	ahh
cantoo	canto
not	note
ees	es
vaa	va
gustaar	gustar
eel	el
loos	los
laas	las
voo	vo
soo	so
toodoo	todoo
liistoo	listoo
embolada	embolado
qiem	qien
daalee	dalee
een	en
paasoo	pasoo
biiem	biien
miis	mis
chaan	chapan
eel	el
coom	com
noosee	nosee
eel	el
oo	o
oo	o
eel	el
hoolo	hoola
chiica	chica
impota	importa
toodos	todos
puueden	pueden
esforzas	esforzar
amego	amigo
noveo	niveo
platonica	platonico
siendo	riendo
chuuro	churro
acuerdoo	acuerdo
alika	alifa
uaan	usan
uuna	una
hoolu	holu
nenaa	nena
trees	tres
cumbiia	cumbia
tengoo	tengo
novioo	novio
paaso	paso
qiien	quien
vofi	voi
bardio	baldio
ahoora	ahora
paaso	paso
reey	rey
caasa	casa
operarla	operarle
negroo	negro
segir	seguir
ilusos	iluso
ahii	ahi
tontoo	tonto
gemeelo	gemelo
hubieras	hubieran
cagada	canada
disney	disnea
jajajajajja	jajajajajaj
ajjaa	ajaja
titi	tito
gatitos	garitos
perras	parras
cocker	cocer
lucy	luci
levanto	levante
jjajajaja	jajajaja
soli	solo
morochos	morocho
okis	oki
okis	oki
traidora	traidor
guachon	guacho
ajajajja	jajajajja
jajajajajjajaja	jajajajajajajaja
oooo	nooo
contas	contad
unicas	unica
cayate	carate
contala	contarla
yy	ya
apoko	apodo
imaginate	imaginare
pasoooo	pasooo
contarles	contarle
haiii	haiti
dejamos	tejamos
hoi	hoy
llamama	llamada
estube	estuve
chupan	chupar
ovarios	varios
significas	significar
arreglamos	arreglaros
esooo	esoo
falsas	falsa
plis	plus
besotee	besote
mark	mare
ammm	amm
jajjajaja	jajajjaja
besoteh	besotes
mirarla	mirarle
besitso	besitos
jj	aj
uff	uf
perdi	pendi
trad	tras
lukas	lucas
duje	dije
trad	tras
mentes	montes
jerry	ferry
big	bit
rush	rus
chu	cha
chu	cha
chu	cha
chu	cha
bf	be
acordate	acordarte
sp	so
fuertes	fuerte
sientas	sientase
inundan	inundar
pupilas	pupilar
big	bit
rush	rus
sofia	cofia
dajs	daos
jajaajjajajajaja	jajajajajajajaja
negros	negaros
razones	arzones
cambiaria	cambiarias
hormiga	hormigo
faciles	facies
er	re
mires	mire
giles	gules
quedarme	quedarse
revelare	revelar
secretos	secretor
llamado	llamada
bolas	bolsa
acabas	acatas
oficinas	oficina
requisitos	requisito
requisitos	requisito
toc	toce
toc	toce
chistes	chiste
verdes	verses
arvejas	arveja
apartes	aparten
terminas	terminad
tragandote	tratandote
chistes	chiste
feministas	feminista
dinosaurios	dinosaurio
inteligentes	inteligente
chistes	chiste
jaimito	caimito
pedrito	perrito
jaimito	caimito
oiga	siga
pedrito	perrito
primeras	primera
pedrito	perrito
sorete	serete
gritan	gritar
denis	tenis
anonimas	anonima
ahy	ahi
aguanta	aguantar
remera	remero
cheto	chelo
dani	dan
besus	besos
todabia	todavia
deepende	depende
queva	quera
guapisima	guapisimo
denada	senada
harry	harre
potter	poster
fiaca	flaca
sigu	siga
wna	wn
ell	el
wias	cias
kasa	casa
enkanta	encanta
aaahh	aaah
sss	sis
emmms	emmm
bastian	bastan
ise	ice
ratow	rato
amigoo	amigo
sss	sis
quen	qien
digi	digo
siiiii	siiii
wia	cia
aburria	aburrir
hermosos	hermoso
ruth	ruta
ruth	ruta
ruth	ruta
brian	frian
bombonas	bombona
adri	adir
referis	referir
bril	buril
pelotudas	pelotuda
cumplimos	cumpliros
verdes	verses
quedarme	quedarse
daleeee	daleee
coreanos	creanos
orejas	oreja
compras	compra
pisos	posos
falsas	falsa
envidian	envidiar
nee	ne
caprichosa	caprichoso
contesto	contesta
aree	arre
reirme	reirse
pisado	picado
besi	beso
hipotecis	hipotesis
neuronas	neurona
cortita	tortita
peluches	peluche
aliens	aliene
caffe	cafre
vistes	visten
buenaza	buenazo
encantaa	encanta
seguidos	seguido
intension	intencion
corruptos	corrupto
sirven	sirve
ponemos	poneos
cafeee	cafetee
noou	nou
primos	primor
agoo	ago
casooo	pasooo
miii	mii
adentroo	adentro
amigass	amigas
adolecente	adolescente
ams	ama
deseos	deseoso
pobree	pobre
temas	tomas
tardes	tarde
altiro	altivo
duendes	duende
violare	violar
ñee	lee
ayudame	ayudase
sè	ss
suiso	suizo
ñee	lee
altrio	atrio
pasaste	pasatte
peroo	pero
eligo	ligo
pidiria	pediria
tdooo	todoo
respeten	respete
hablen	tablen
asm	amm
dedica	dedicar
tmaban	traban
yaaa	yaa
justiin	justin
enfremte	enfrente
bess	beso
iio	dio
mmmmm	mmmm
seguramnte	seguramente
yaaa	yaa
estoii	estoi
pasandoo	pasando
tom	tome
jerry	ferry
ahree	arree
ahor	amor
teniia	tenia
interneet	internet
barbucha	barbecha
barbita	barbeta
regalarn	regalar
nunka	nunca
ahrre	arre
justiin	justin
actorees	actores
violetta	violeta
tdo	do
poko	poco
cuartetto	cuarteto
ningno	ninguno
qeria	queria
empexar	empezar
um	hum
habriia	habria
empiieza	empieza
tiienes	tienes
miigo	migo
siiempre	siempre
ise	ice
ball	baul
gustariia	gustaria
opiina	opina
puteriio	puterio
gemma	gema
sobriina	sobrina
gustariia	gustaria
priimera	primera
inoliidable	inolvidable
feliiz	feliz
copadas	copada
mientan	mienta
hablen	tablen
pruebas	prueba
hoii	holii
muii	mui
pocas	cocas
sosss	soss
bardear	bardar
loka	loca
